@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
240.116,99.304,23.094,17.665,16.802,11.595,5.171,5.853,5.295,2,156,150,86,0.696,0.783,129,3.000,0.000,9.000,0.302,0.453,0.425,0.377,humo
238.269,101.318,23.704,14.938,19.524,12.726,5.283,6.202,5.615,2,138,216,116,0.474,0.383,120,2.000,1.000,1.000,0.331,0.461,0.438,0.421,humo
244.481,117.635,33.639,22.166,28.423,16.657,4.068,6.621,5.837,2,224,260,128,0.421,0.513,141,4.000,0.000,3.000,0.444,0.473,0.474,0.474,humo
201.821,71.707,9.567,29.686,22.444,10.410,6.620,6.230,4.704,1,230,244,112,0.726,0.291,89,1.000,3.000,4.000,0.451,0.351,0.397,0.426,humo
169.688,60.972,10.159,37.501,25.375,12.830,6.581,6.036,4.681,1,310,324,168,1.571,0.595,69,1.000,1.000,4.000,0.648,0.404,0.381,0.207,humo
90.358,28.871,7.619,53.686,20.522,7.221,7.014,5.734,4.364,1,438,174,86,8.778,0.321,50,0.000,1.000,8.000,0.965,0.151,0.071,0.343,nada
18.569,4.888,5.685,7.662,3.258,3.100,4.166,3.120,3.348,0,102,58,48,62.125,2.012,8,9.000,20.000,21.000,0.850,0.156,0.192,0.028,nada
15.668,4.135,5.791,2.551,1.186,1.391,3.090,2.123,2.416,0,38,24,24,85.429,2.411,8,89.000,90.000,89.000,0.600,0.279,0.056,0.284,nada
182.753,60.381,4.223,26.268,11.059,4.722,4.522,3.878,3.368,1,356,164,102,3.280,1.555,84,1.000,4.000,24.000,0.825,0.302,0.133,0.180,humo
215.821,77.574,7.792,19.893,13.411,6.338,6.113,5.518,4.167,1,152,108,54,0.833,0.455,95,2.000,7.000,10.000,0.240,0.455,0.459,0.400,humo
253.663,122.258,38.656,1.715,10.457,7.397,2.237,5.368,4.900,2,44,108,76,0.904,1.034,138,31.000,4.000,5.000,0.141,0.164,0.461,0.468,humo
247.888,125.301,39.259,10.016,28.919,20.185,4.099,6.679,6.156,2,96,230,158,0.438,0.508,140,10.000,2.000,1.000,0.306,0.418,0.297,0.292,humo
252.164,190.360,73.321,3.026,18.310,9.795,3.141,6.116,5.244,2,40,192,128,0.571,1.141,171,25.000,1.000,3.000,0.163,0.311,0.404,0.290,humo
250.322,170.600,66.796,7.511,51.803,38.849,3.614,7.339,7.117,2,106,382,364,0.168,0.559,160,10.000,0.000,0.000,0.447,0.466,0.384,0.307,humo
236.283,138.015,57.694,31.667,59.885,54.375,5.210,7.433,7.067,2,340,478,456,0.279,0.286,135,2.000,0.000,0.000,0.751,0.003,0.378,0.863,humo
86.122,28.373,8.801,75.466,34.977,12.182,7.165,5.927,4.504,0,494,464,288,16.750,0.543,13,9.000,1.000,7.000,0.981,0.468,0.419,0.050,nada
36.221,8.066,5.797,14.295,5.706,4.579,5.610,4.308,3.906,0,120,60,54,17.625,0.571,16,2.000,5.000,11.000,0.860,0.027,0.246,0.126,nada
14.465,3.938,7.056,3.702,1.797,2.326,3.144,2.321,2.954,0,66,40,38,112.000,3.628,8,111.000,67.000,50.000,0.857,0.453,0.368,0.352,nada
30.041,6.342,6.079,34.227,13.367,4.283,4.520,2.554,3.207,0,374,162,94,56.333,2.061,9,6.000,69.000,37.000,0.873,0.492,0.497,0.488,nada
74.663,25.037,8.896,86.057,37.854,10.563,5.804,4.361,4.246,0,480,252,140,40.000,1.463,10,5.000,27.000,10.000,0.919,0.462,0.465,0.320,nada
102.355,47.270,19.018,103.794,60.445,22.269,5.320,4.575,4.579,0,474,328,214,24.182,1.090,11,0.000,42.000,23.000,0.922,0.406,0.389,0.369,nada
122.434,58.109,20.910,104.171,64.201,23.768,5.597,5.315,5.026,0,464,370,240,17.583,0.868,13,0.000,17.000,19.000,0.908,0.445,0.447,0.437,nada
121.569,81.775,38.310,99.030,95.975,51.409,5.915,5.876,5.262,0,462,510,400,11.083,0.547,16,1.000,45.000,25.000,0.919,0.438,0.435,0.415,nada
86.675,45.725,23.943,76.597,78.635,48.775,6.392,5.464,4.487,0,462,506,464,19.583,0.967,15,0.000,7.000,21.000,0.914,0.443,0.467,0.477,nada
40.227,8.119,4.706,29.568,9.580,3.774,5.707,4.171,3.476,0,458,222,70,29.400,1.200,10,12.000,10.000,20.000,0.940,0.483,0.468,0.102,nada
22.775,4.446,5.056,10.924,2.364,1.822,4.719,2.668,2.750,0,126,32,24,60.375,1.955,9,3.000,143.000,74.000,0.676,0.426,0.336,0.283,nada
13.365,3.727,7.350,2.335,0.695,1.359,2.912,1.520,2.296,0,26,8,16,137.875,4.466,8,66.000,454.000,206.000,0.250,0.462,0.430,0.437,nada
10.649,3.872,8.128,1.140,0.550,0.538,1.646,1.100,0.850,0,10,6,8,205.714,5.806,7,275.000,636.000,470.000,0.125,0.474,0.347,0.190,nada
10.547,2.504,6.442,5.888,1.364,3.684,2.274,1.804,2.493,0,30,12,22,91.250,3.992,8,121.000,505.000,147.000,1.000,11.605,0.365,2.925,nada
10.993,2.569,5.499,6.203,1.361,2.951,2.922,1.905,2.161,0,38,12,18,99.875,4.239,8,46.000,323.000,317.000,1.000,4.316,0.337,1.961,nada
12.337,2.536,4.963,6.878,1.449,2.744,3.371,2.074,2.653,0,44,12,18,63.875,3.093,8,59.000,264.000,164.000,1.000,0.887,1.590,0.868,nada
14.111,2.591,4.315,8.217,1.549,2.538,3.945,2.381,2.754,0,52,12,18,14.250,1.583,9,35.000,204.000,280.000,1.000,0.005,2.257,5.328,nada
14.964,2.769,3.998,8.546,1.663,2.316,4.013,2.446,2.514,0,52,12,18,11.444,1.573,9,34.000,236.000,312.000,1.000,0.102,2.863,1.083,nada
14.383,2.595,4.183,8.173,1.497,2.335,3.834,2.135,2.714,0,52,12,18,15.000,1.626,9,106.000,236.000,236.000,1.000,0.345,2.871,1.068,nada
12.082,2.505,4.648,6.812,1.431,2.666,3.478,2.014,2.698,0,46,12,18,74.500,3.551,8,54.000,280.000,580.000,1.000,0.781,3.555,1.039,nada
10.194,2.716,5.576,5.556,1.567,3.087,2.761,2.044,2.615,0,30,14,20,60.000,3.190,8,57.000,182.000,189.000,1.000,7.215,0.240,1.677,nada
